,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d
313,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
312,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
311,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
310,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
309,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
308,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
307,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
306,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
1170,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
304,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
303,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
302,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
301,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
300,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
299,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
298,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
297,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
1222,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
296,Bosconia,Cuatrovientos,33,0.11,Bosconia - Cuatrovientos,9.970362,-73.890531,9.739005,-73.709335
1221,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
1141,Planeta_Rica,Caucasia,69,0.11,Planeta_Rica - Caucasia,8.412749,-75.584048,7.979698,-75.198563
1171,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
1172,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1173,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1174,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1175,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1176,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1177,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1178,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1179,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1180,Puerta_Hierro,Sta_Ana,123,0.11,Puerta_Hierro - Sta_Ana,9.428741,-75.230255,9.322961,-74.570544
1168,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
1167,Puerta_Hierro,Sincelejo,43,0.11,Puerta_Hierro - Sincelejo,9.428741,-75.230255,9.304577,-75.390557
